,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
24113000,{80E1AA98-10C5-7BF8-E053-6C04A8C00BF2},175000,2019-01-04 00:00,M19 3LU,T,N,F,11,,FERNLEIGH AVENUE,,MANCHESTER,MANCHESTER,GREATER MANCHESTER,A,A
24113001,{80E1AA98-10CD-7BF8-E053-6C04A8C00BF2},299000,2019-01-04 00:00,OL9 9LW,D,N,F,1,,ROSEMARY ROAD,CHADDERTON,OLDHAM,OLDHAM,GREATER MANCHESTER,A,A
24113002,{80E1AA98-10CE-7BF8-E053-6C04A8C00BF2},147000,2019-01-04 00:00,BL7 9JQ,T,N,L,248,,DARWEN ROAD,BROMLEY CROSS,BOLTON,BOLTON,GREATER MANCHESTER,A,A
24113003,{80E1AA98-10D1-7BF8-E053-6C04A8C00BF2},870000,2019-01-10 00:00,M33 3EJ,D,N,F,9,,HOLLY BANK,,SALE,TRAFFORD,GREATER MANCHESTER,A,A
24113004,{80E1AA98-10D5-7BF8-E053-6C04A8C00BF2},335000,2019-01-07 00:00,SK7 5NX,S,N,F,3,,NORBURY GROVE,HAZEL GROVE,STOCKPORT,STOCKPORT,GREATER MANCHESTER,A,A
24113005,{80E1AA98-10DD-7BF8-E053-6C04A8C00BF2},220000,2019-01-03 00:00,M1 1ER,F,N,L,"THE SORTING HOUSE, 83",FLAT 73,NEWTON STREET,,MANCHESTER,MANCHESTER,GREATER MANCHESTER,A,A
24113006,{80E1AA98-10DF-7BF8-E053-6C04A8C00BF2},405000,2019-01-11 00:00,SK4 3JU,S,N,F,37,,CURTIS ROAD,,STOCKPORT,STOCKPORT,GREATER MANCHESTER,A,A
24113007,{80E1AA98-10E0-7BF8-E053-6C04A8C00BF2},96000,2019-01-11 00:00,M28 3BL,T,N,F,29,,ST PAULS COURT,WORSLEY,MANCHESTER,SALFORD,GREATER MANCHESTER,A,A
24113008,{80E1AA98-10E1-7BF8-E053-6C04A8C00BF2},60000,2019-01-09 00:00,WN7 5PH,T,N,F,42,,MELROSE AVENUE,,LEIGH,WIGAN,GREATER MANCHESTER,A,A
24113009,{80E1AA98-10EA-7BF8-E053-6C04A8C00BF2},150000,2019-01-25 00:00,SK4 5NY,T,N,F,13,,GREENTHORNE AVENUE,,STOCKPORT,STOCKPORT,GREATER MANCHESTER,A,A
