,postcode,date,price,Outstanding
0,GL20 7EQ,1995-07-21 00:00,132000,13117.88
1,RG21 3DW,1995-07-07 00:00,91000,8510.76
2,GU21 4PN,1995-11-14 00:00,75000,8769.56
3,DN20 9BJ,1995-04-28 00:00,35000,2863.49
4,OX33 1YB,1995-06-30 00:00,165000,15434.19
5,CR5 1JQ,1995-03-22 00:00,105000,7979.52
6,WN3 6TF,1995-08-11 00:00,43950,4367.01
7,WS15 2JR,1995-10-30 00:00,33000,3859.61
8,ME20 6BU,1995-03-31 00:00,55995,4255.78
9,DE74 2EH,1995-10-27 00:00,44500,5203.57
10,BD15 0LT,1995-10-27 00:00,42500,4969.23
11,BA4 4DT,1995-06-20 00:00,195000,18239.37
12,N1 0JD,1995-03-30 00:00,97000,7372.35
13,CH46 0QE,1995-02-15 00:00,40000,2804.88
14,PR2 3AL,1995-12-18 00:00,35000,4500.37
15,IP25 6RB,1995-02-10 00:00,50000,3213.81
16,WA8 9AR,1995-01-31 00:00,67000,4307.08
17,PE31 6YE,1995-05-11 00:00,56000,4583.31
18,LE16 9EL,1995-11-03 00:00,39950,4671.92
19,PL2 2BY,1995-03-23 00:00,18600,1414.61
20,CW1 4AS,1995-02-23 00:00,32500,2280.41
21,WV6 9PW,1995-05-19 00:00,92000,8068.15
22,SM4 6HD,1995-01-31 00:00,63950,4110.95
23,BH7 6JR,1995-07-25 00:00,46000,4571.90
24,IP2 9LG,1995-11-29 00:00,49500,6077.39
25,WR11 2AJ,1995-06-16 00:00,84000,7855.65
26,EN6 5DX,1995-07-14 00:00,45000,4207.78
27,SW19 6EF,1995-07-13 00:00,97000,9073.50
28,NN8 5UQ,1995-11-30 00:00,46000,5647.54
29,LE9 7EB,1995-03-03 00:00,38000,2666.94
30,TW13 4EG,1995-05-12 00:00,65000,5320.78
31,OX14 4DZ,1995-12-15 00:00,54000,6944.55
32,NG7 1DX,1995-08-22 00:00,133000,13996.43
33,HR8 2DB,1995-12-19 00:00,70000,9003.53
34,IG3 9HB,1995-01-24 00:00,58500,3760.44
35,SP3 4JT,1995-01-27 00:00,62000,3985.70
36,L38 9EY,1995-07-21 00:00,57500,5714.16
37,CA22 2TQ,1995-08-18 00:00,19000,1999.89
38,PO12 3DR,1995-03-17 00:00,46500,3535.10
39,SP7 8RH,1995-12-15 00:00,39000,5015.81
40,CB7 5FX,1995-07-31 00:00,46500,4622.42
41,CA14 2UW,1995-04-26 00:00,19000,1555.61
42,SN7 7UW,1995-05-26 00:00,52500,4603.58
43,SN5 8RA,1995-06-30 00:00,58000,5425.63
44,SO31 6UW,1995-08-04 00:00,69000,6856.43
45,FY5 2UU,1995-06-30 00:00,79150,7404.11
46,DE6 1EH,1995-07-28 00:00,75000,7454.24
47,ME7 4AY,1995-05-19 00:00,65000,5700.76
48,HA6 1AL,1995-12-15 00:00,64000,8230.37
49,BN17 5JD,1995-06-16 00:00,24000,2245.28
50,BS24 9EU,1995-04-27 00:00,47500,3887.60
51,GU1 2BZ,1995-07-03 00:00,72000,6735.85
52,CV7 7BG,1995-09-11 00:00,188000,19782.32
53,TR13 8JG,1995-03-24 00:00,34000,2584.06
54,HU16 5RJ,1995-10-02 00:00,24480,2718.38
55,WF7 7SZ,1995-08-21 00:00,120000,12626.59
56,W5 2SJ,1995-01-25 00:00,69000,4436.21
57,RM17 6PF,1995-03-13 00:00,74050,5194.36
58,SO50 4JJ,1995-02-27 00:00,56000,3928.57
59,LN4 1UF,1995-03-02 00:00,42500,2981.63
60,L9 1LR,1995-07-28 00:00,27500,2733.60
61,M16 8ND,1995-05-19 00:00,48000,4209.97
62,BH22 8SF,1995-12-08 00:00,66500,8164.46
63,SY3 7QU,1995-07-31 00:00,137000,13614.64
64,SE6 1BW,1995-01-11 00:00,62000,3623.25
65,CV37 6RY,1995-08-07 00:00,55000,5467.20
66,WA10 4JD,1995-12-15 00:00,31000,3987.71
67,PR25 4XL,1995-12-08 00:00,56000,6874.90
68,NR13 6EX,1995-12-06 00:00,67000,8223.88
69,NE32 4SW,1995-06-30 00:00,59900,5602.55
70,NG4 2GF,1995-10-04 00:00,27000,2998.75
71,KT16 0QG,1995-04-21 00:00,370000,30282.67
72,MK15 9DF,1995-05-31 00:00,53000,4648.27
73,DY13 0AZ,1995-06-09 00:00,66000,5787.28
74,DL1 3SJ,1995-02-08 00:00,48500,3117.68
75,NG8 5LJ,1995-10-17 00:00,34950,4087.47
76,NW3 6LL,1995-10-23 00:00,152500,17829.94
77,WN6 0QH,1995-06-22 00:00,50000,4675.31
78,LE3 8QT,1995-07-28 00:00,83000,8248.49
79,CM22 7EA,1995-10-24 00:00,88000,10288.57
80,W10 6LY,1995-09-29 00:00,290000,32211.23
81,WF10 2DW,1995-02-24 00:00,56995,3997.41
82,ST1 6DZ,1995-12-15 00:00,46000,5916.45
83,EN5 4NH,1995-12-01 00:00,102000,12522.43
84,KT23 3AL,1995-01-20 00:00,99000,6367.38
85,PO11 0BA,1995-06-09 00:00,52500,4603.58
86,OX4 2JQ,1995-10-31 00:00,70000,8185.11
87,SL6 3DY,1995-01-20 00:00,117500,7556.78
88,TN22 4LZ,1995-06-30 00:00,119950,11218.25
89,S20 4XA,1995-09-14 00:00,45000,4733.92
90,OX2 7BG,1995-11-01 00:00,140000,16367.42
91,CM15 8PT,1995-06-02 00:00,133000,11663.93
92,CH47 2BY,1995-09-05 00:00,59950,6308.80
93,LL29 6DS,1995-10-13 00:00,40000,4441.76
94,NG14 5FE,1995-11-24 00:00,140000,17185.85
95,S71 5BN,1995-04-13 00:00,46000,3496.26
96,TN24 8NB,1995-01-27 00:00,38750,2491.42
97,SL4 3EN,1995-02-03 00:00,52000,3342.94
98,CR3 5TB,1995-06-29 00:00,62000,5797.95
99,TA24 6LE,1995-08-25 00:00,27500,2894.36
100,BN14 8JT,1995-09-08 00:00,50000,5259.91
101,RM16 4JB,1995-03-31 00:00,49000,3723.59
102,SS2 4AE,1995-11-20 00:00,39500,4850.03
103,TS10 4PS,1995-03-24 00:00,37000,2811.39
104,BN16 1QA,1995-03-17 00:00,38500,2925.06
105,DN37 0UT,1995-09-29 00:00,60000,6665.46
106,EX16 4LP,1995-05-17 00:00,80500,7060.35
107,BH11 9PL,1995-12-18 00:00,69000,8873.28
108,CW1 4AY,1995-05-10 00:00,31000,2537.95
109,DA1 1TH,1995-02-28 00:00,42000,2945.71
110,BA21 5AF,1995-12-15 00:00,35100,4514.51
111,BA14 9LG,1995-04-19 00:00,71500,5852.28
112,MK13 0LR,1995-02-13 00:00,49995,3213.71
113,LN6 0SZ,1995-06-23 00:00,39000,3647.87
114,NE63 0NE,1995-11-08 00:00,20000,2337.80
115,CO13 9NS,1995-10-27 00:00,42000,4909.95
116,SY13 1ET,1995-02-23 00:00,37000,2595.09
117,B29 5EA,1995-07-24 00:00,49950,4964.82
118,LL54 7TW,1995-06-30 00:00,47000,4395.36
119,DE14 2TD,1995-06-30 00:00,58950,5512.67
120,LE16 9RH,1995-05-26 00:00,88000,7716.37
121,TW11 9BG,1995-06-30 00:00,159950,14961.33
122,WC1N 1ES,1995-09-29 00:00,66000,7330.60
123,NG4 1PY,1995-02-24 00:00,50500,3542.03
124,RH10 4XR,1995-04-28 00:00,93000,7611.00
125,GL10 2JY,1995-09-26 00:00,126500,14049.61
126,NE25 9YD,1995-09-29 00:00,100000,11107.22
127,RG20 6PS,1995-06-28 00:00,82500,7715.68
128,DT4 0AJ,1995-09-08 00:00,77725,8179.44
129,SN2 1LT,1995-08-18 00:00,56000,5892.79
130,PE20 3LJ,1995-06-07 00:00,20000,1753.20
131,CF24 1HB,1995-02-16 00:00,30000,2103.66
132,LE5 4NX,1995-11-24 00:00,52500,6445.04
133,B8 1QJ,1995-05-10 00:00,33700,2757.19
134,SL8 5EH,1995-10-30 00:00,105000,12276.26
135,NP16 7HT,1995-12-20 00:00,58500,7522.33
136,GU34 2TE,1995-05-26 00:00,42000,3682.30
137,TW3 2JD,1995-05-26 00:00,81950,7186.51
138,HR2 9EX,1995-04-20 00:00,59950,4906.96
139,PE19 2DT,1995-12-21 00:00,47500,6109.04
140,RG1 3PY,1995-09-28 00:00,38500,4275.48
141,PE29 2QP,1995-09-28 00:00,100000,11107.22
142,SA1 4NQ,1995-09-29 00:00,45000,4996.99
143,CM0 8NX,1995-05-25 00:00,55000,4824.16
144,NR9 3QW,1995-06-27 00:00,63000,5893.16
145,S20 2DU,1995-06-09 00:00,32000,2805.69
146,ST14 8LT,1995-06-09 00:00,28350,2486.33
147,SS12 9HD,1995-07-05 00:00,42500,3975.43
148,NG10 5JE,1995-04-21 00:00,42000,3436.77
149,WD18 7RY,1995-06-30 00:00,67500,6313.08
150,OL12 7NT,1995-04-27 00:00,61200,5008.51
151,TN24 8YE,1995-05-19 00:00,59999,5260.70
152,NG9 7GY,1995-04-21 00:00,83500,6834.63
153,WD24 6SZ,1995-12-21 00:00,40000,5143.28
154,BN11 3DR,1995-06-06 00:00,13500,1183.70
155,SW16 2BB,1995-03-13 00:00,78500,5507.75
156,GU29 9PS,1995-04-13 00:00,89000,6762.31
157,GL51 3WN,1995-05-26 00:00,55995,4910.46
158,IG10 3EW,1995-12-12 00:00,86500,10619.19
159,LL18 4TS,1995-03-24 00:00,42000,3191.24
160,TS17 0QN,1995-06-23 00:00,107510,10056.67
161,PE7 3WP,1995-06-23 00:00,38000,3555.50
162,RG31 7AD,1995-07-28 00:00,66500,6609.46
163,CW2 5DP,1995-04-24 00:00,43000,3520.30
164,DN21 5TZ,1995-08-31 00:00,54000,5681.83
165,SN16 0NT,1995-12-01 00:00,84500,10373.16
166,LS27 0ST,1995-05-26 00:00,71995,6311.88
167,IG9 6AQ,1995-11-23 00:00,98000,12030.37
168,EN7 6EU,1995-03-10 00:00,50500,3542.03
169,DE23 6FG,1995-10-20 00:00,57000,6663.30
170,WV5 9DE,1995-08-04 00:00,92500,9191.49
171,TN6 2PA,1995-06-30 00:00,45000,4207.78
172,CR0 2PW,1995-02-28 00:00,55000,3859.60
173,TN13 3XA,1995-05-15 00:00,27750,2434.42
174,CH61 1BD,1995-09-07 00:00,46000,4840.81
175,SO50 7PS,1995-09-29 00:00,115000,12772.88
176,LL65 1YU,1995-12-08 00:00,60000,7366.96
177,GL52 3NQ,1995-09-08 00:00,97990,10311.05
178,EX31 3SL,1995-06-16 00:00,49950,4672.82
179,HR4 0RH,1995-11-10 00:00,69000,8066.54
180,NE63 0SN,1995-07-17 00:00,6875,683.40
181,LL13 9UJ,1995-01-06 00:00,56000,3273.83
182,WS9 9AP,1995-08-18 00:00,44500,4683.29
183,UB10 9AB,1995-10-27 00:00,105000,12276.26
184,BD5 9LU,1995-06-23 00:00,34000,3180.34
185,YO51 9PE,1995-12-01 00:00,86500,10619.19
186,GL53 7AF,1995-03-31 00:00,44000,3343.75
187,CA25 5JN,1995-05-27 00:00,40000,3506.40
188,CF3 0EL,1995-02-24 00:00,57000,3997.54
189,BH14 9QU,1995-10-03 00:00,110000,12217.66
190,HP7 9HQ,1995-02-24 00:00,138000,9682.04
191,SL6 4QH,1995-06-23 00:00,70000,6548.27
192,NE37 1LT,1995-05-05 00:00,57000,4663.98
193,CF31 1PX,1995-11-24 00:00,55950,6868.12
194,EN2 7AQ,1995-08-09 00:00,89995,8944.24
195,NG31 9SU,1995-09-13 00:00,34000,3577.86
196,CF40 1JH,1995-03-01 00:00,12500,877.97
197,NP22 4QW,1995-05-26 00:00,34000,2981.58
198,NE28 7LP,1995-08-04 00:00,32000,3179.83
199,NN3 2JN,1995-01-06 00:00,24250,1418.53
200,TR7 3AG,1995-11-03 00:00,85000,9938.46
201,HP27 9AY,1995-12-14 00:00,105000,12890.08
202,NG11 7EJ,1995-12-15 00:00,24500,3152.21
203,NN6 9BJ,1995-01-27 00:00,43000,2766.19
204,TN18 4ER,1995-12-21 00:00,34000,4372.90
205,W11 2ER,1995-04-19 00:00,295000,24143.75
206,DA9 9QA,1995-10-20 00:00,81000,9469.78
207,TW10 6LN,1995-04-28 00:00,113000,9247.28
208,ME17 4TB,1995-06-30 00:00,150000,14028.76
209,KT16 0JD,1995-07-28 00:00,71500,7106.22
210,EX33 2EG,1995-09-15 00:00,51000,5664.94
211,BB12 8JE,1995-04-12 00:00,25900,1967.98
212,HX2 6EU,1995-07-28 00:00,26000,2584.85
213,NR18 0ST,1995-12-08 00:00,42500,5217.68
214,PO19 7NQ,1995-06-16 00:00,42000,3927.83
215,LE8 4AN,1995-08-18 00:00,48500,5102.39
216,SE22 0QY,1995-02-21 00:00,63800,4475.17
217,RG42 4EE,1995-10-31 00:00,243418,28459.22
218,S20 2GN,1995-07-12 00:00,54000,5050.47
219,SP10 3NP,1995-06-16 00:00,60000,5613.21
220,OX16 3NN,1995-01-04 00:00,28000,1635.46
221,SE12 0JA,1995-04-28 00:00,66000,5401.45
222,BN21 4BB,1995-08-18 00:00,25000,2629.95
223,CO16 7LB,1995-06-30 00:00,76000,7108.17
224,BN1 3PJ,1995-12-19 00:00,23950,3080.01
225,DY6 0LQ,1995-05-23 00:00,40000,3506.40
226,NN12 6BE,1995-04-21 00:00,37000,3027.69
227,NE28 9TZ,1995-05-12 00:00,64950,5316.03
228,LE17 4DF,1995-06-23 00:00,70750,6616.84
229,TW15 3PS,1995-09-15 00:00,110000,12217.66
230,TF2 9QP,1995-02-24 00:00,98000,6874.27
231,TQ1 1JH,1995-08-15 00:00,49000,5155.84
232,SK7 2BE,1995-07-07 00:00,40000,3740.24
233,WN2 1LB,1995-06-06 00:00,34000,2981.58
234,NW9 5AS,1995-11-10 00:00,87000,10172.80
235,TQ12 4AN,1995-10-27 00:00,42500,4969.23
236,LU7 3HX,1995-07-24 00:00,59800,5944.31
237,GU11 3QE,1995-04-10 00:00,72500,5509.12
238,BR6 6HW,1995-10-31 00:00,225000,26305.88
239,CM2 7SZ,1995-02-28 00:00,290000,20344.06
240,NW7 2SE,1995-06-16 00:00,125000,11691.11
241,OX7 5LF,1995-07-28 00:00,65500,6508.41
242,NE11 9PA,1995-11-03 00:00,34000,3975.38
243,CO5 0SX,1995-04-28 00:00,62500,5114.81
244,NE38 0HZ,1995-01-20 00:00,28500,1832.16
245,BH8 8RT,1995-03-09 00:00,57000,3997.54
246,LS19 7WE,1995-09-29 00:00,70500,7829.45
247,HU5 5RY,1995-11-17 00:00,38250,4694.52
248,BS30 8BD,1995-08-18 00:00,59000,6207.82
249,SS1 3BG,1995-03-31 00:00,230000,17478.41
250,TQ9 5UF,1995-01-09 00:00,33000,1930.51
251,SR8 4EP,1995-11-24 00:00,25795,3165.30
252,CO7 7EL,1995-10-30 00:00,53500,6253.90
253,NE30 4AD,1995-02-24 00:00,49950,3504.82
254,L26 7WR,1995-05-12 00:00,52950,4333.69
255,NR13 3QA,1995-02-09 00:00,51995,3342.84
256,YO61 3GY,1995-05-12 00:00,34250,2803.71
257,BH9 1DF,1995-06-12 00:00,40500,3551.09
258,NE63 8EU,1995-12-15 00:00,77950,10024.56
259,SM4 6AU,1995-02-24 00:00,70450,4943.19
260,PL5 2BA,1995-06-23 00:00,38500,3600.27
261,DE55 5SL,1995-12-18 00:00,32950,4238.37
262,PR3 0PH,1995-02-20 00:00,60000,4210.21
263,CF72 8RU,1995-10-20 00:00,99000,11576.04
264,CT9 3NS,1995-06-30 00:00,115000,10756.04
265,BN3 2EB,1995-10-27 00:00,25000,2922.25
266,N3 1AP,1995-09-08 00:00,121500,12784.11
267,SG12 0RZ,1995-09-08 00:00,75000,7892.68
268,M33 4LP,1995-04-28 00:00,59500,4869.94
269,TS1 3NB,1995-09-01 00:00,14500,1524.53
270,W13 9PN,1995-10-23 00:00,67000,7832.20
271,BN43 5GU,1995-08-18 00:00,78500,8261.15
272,CF31 2JG,1995-04-21 00:00,41750,3415.88
273,IG6 1EB,1995-05-30 00:00,89500,7847.58
274,E1 8RY,1995-11-24 00:00,56500,6937.10
275,CF44 8DB,1995-12-17 00:00,48000,6174.17
276,HP5 3ED,1995-04-18 00:00,51000,4174.24
277,SE13 7DD,1995-11-17 00:00,60000,7366.96
278,S21 1JN,1995-05-09 00:00,37950,3106.48
279,NE28 8HF,1995-12-21 00:00,32500,4180.31
280,KT16 0HD,1995-05-05 00:00,72500,5932.95
281,LU6 3TU,1995-01-27 00:00,123750,7957.78
282,HP16 9QH,1995-08-08 00:00,165000,16398.76
283,YO32 3SP,1995-10-10 00:00,78250,8691.87
284,CA1 2BB,1995-07-18 00:00,34500,3429.63
285,KT15 2ER,1995-08-17 00:00,83500,8787.15
286,IP23 7LX,1995-04-12 00:00,120000,9119.04
287,NN3 8LJ,1995-10-27 00:00,29500,3450.22
288,SE4 1DE,1995-10-20 00:00,72000,8419.45
289,BH12 4BR,1995-07-28 00:00,64000,6359.67
290,L6 9HZ,1995-07-28 00:00,19000,1888.82
291,SG1 4HZ,1995-09-12 00:00,49750,5236.00
292,E18 1BT,1995-05-31 00:00,92000,8068.15
293,CF44 8EH,1995-07-14 00:00,50700,4741.39
294,SW18 4UR,1995-07-28 00:00,95000,9441.28
295,W11 3NF,1995-04-07 00:00,320000,24318.41
296,BH23 1DY,1995-12-15 00:00,96000,12345.55
297,SL6 3XZ,1995-06-09 00:00,67500,5918.48
298,SG5 2JL,1995-10-27 00:00,50950,5956.59
299,HP22 5HN,1995-08-31 00:00,67500,7102.28
300,FY5 1SW,1995-10-27 00:00,76000,8885.33
301,WA15 7QX,1995-09-21 00:00,65000,7220.68
302,YO26 7LG,1995-05-12 00:00,177500,14526.30
303,SO50 7PT,1995-01-27 00:00,33500,2153.54
304,HD9 7HA,1995-01-20 00:00,45000,2892.43
305,TN10 3BX,1995-04-27 00:00,192000,15714.60
306,DE11 0UU,1995-05-25 00:00,64500,5656.07
307,TN23 3DX,1995-09-26 00:00,39000,4331.84
308,WR5 3DQ,1995-09-29 00:00,36500,4052.83
309,E11 2AY,1995-08-04 00:00,78000,7751.73
310,HR2 7UE,1995-03-20 00:00,40500,3077.57
311,MK3 6BZ,1995-08-11 00:00,95000,9441.28
312,WF3 3TB,1995-12-15 00:00,98000,12603.27
313,CW11 3GB,1995-11-03 00:00,59995,7015.84
314,LS9 0LG,1995-12-01 00:00,19750,2423.62
315,SA11 3YW,1995-02-24 00:00,46000,3227.35
316,M43 7NN,1995-11-24 00:00,39500,4850.03
317,CA2 4JF,1995-02-24 00:00,27875,1956.74
318,DY8 2JE,1995-05-31 00:00,46000,4034.08
319,SS1 3EP,1995-05-26 00:00,56950,4995.01
320,BH14 0DS,1995-11-29 00:00,37000,4541.79
321,ST5 0DL,1995-05-31 00:00,36250,3179.82
322,M43 6LZ,1995-06-23 00:00,50950,4765.19
323,BH19 1LP,1995-10-20 00:00,69000,8066.54
324,ME10 2SN,1995-12-15 00:00,53000,6817.08
325,KT6 5JN,1995-04-27 00:00,90000,7366.13
326,SR3 1JE,1995-04-07 00:00,58000,4408.45
327,TN23 3LY,1995-11-17 00:00,84950,10428.58
328,WA13 0PU,1995-06-16 00:00,103574,9688.67
329,SS3 8UT,1995-05-12 00:00,65950,5396.70
330,NR5 0RU,1995-06-28 00:00,44000,4115.41
331,SW6 3NF,1995-05-31 00:00,275000,24115.08
332,BD11 1HN,1995-01-13 00:00,65500,3828.04
333,TF4 3RJ,1995-06-01 00:00,27000,2367.39
334,DE24 0GB,1995-07-21 00:00,37000,3676.59
335,PE20 1XF,1995-03-10 00:00,38500,2699.99
336,TA6 5RB,1995-08-31 00:00,30000,3155.94
337,CF11 6SA,1995-10-16 00:00,29950,3503.02
338,NW11 6RB,1995-01-05 00:00,215000,12568.28
339,NR4 6RX,1995-12-01 00:00,34995,4295.37
340,B77 2RY,1995-09-29 00:00,40000,4441.76
341,S18 1QN,1995-07-19 00:00,35000,3477.32
342,TN39 3PZ,1995-11-03 00:00,98000,11457.47
343,SK10 3LG,1995-10-27 00:00,59000,6897.64
344,RG5 3HW,1995-12-08 00:00,50500,6199.01
345,WD18 6FU,1995-11-20 00:00,42995,5279.49
346,N3 2PP,1995-07-07 00:00,142500,13328.88
347,RG21 8YH,1995-09-29 00:00,83000,9218.91
348,N7 9RQ,1995-03-01 00:00,67500,4734.68
349,SO41 9LR,1995-12-06 00:00,32000,3928.11
350,SA19 6NN,1995-08-15 00:00,35000,3681.93
351,GU35 0TH,1995-05-15 00:00,59950,5257.42
352,DL15 9SF,1995-02-21 00:00,27500,1929.80
353,PO31 7QY,1995-07-20 00:00,105000,10434.80
354,LL12 0HB,1995-11-24 00:00,79000,9697.27
355,CV6 4HP,1995-09-29 00:00,38000,4221.92
356,HG5 0BE,1995-12-15 00:00,49950,6424.82
357,PE1 1ES,1995-08-14 00:00,48000,4771.17
358,BR6 8JW,1995-10-26 00:00,178000,20811.48
359,RH11 9PE,1995-09-29 00:00,78000,8663.69
360,L18 6HU,1995-10-11 00:00,94000,10442.08
361,NE28 9TG,1995-11-28 00:00,34950,4291.78
362,LL12 0NH,1995-09-22 00:00,36950,4103.00
363,BN18 0JF,1995-02-24 00:00,70000,4911.43
364,SW20 9BS,1995-08-03 00:00,88000,8745.25
365,RG25 2JG,1995-03-24 00:00,180000,13680.00
366,CH5 4RD,1995-10-13 00:00,41500,4610.86
367,RG31 6JJ,1995-11-01 00:00,40000,4675.60
368,BH7 7HZ,1995-06-26 00:00,58000,5425.63
369,TS20 1TT,1995-09-29 00:00,45000,4996.99
370,TS25 5QA,1995-01-12 00:00,25650,1498.70
371,BL2 6NH,1995-04-10 00:00,48000,3648.77
372,NR34 9PF,1995-05-12 00:00,102000,8348.47
373,PO4 9BY,1995-01-09 00:00,48000,2806.97
374,DE56 1JE,1995-05-17 00:00,55000,4824.16
375,HP13 5AB,1995-06-30 00:00,57000,5330.42
376,NG9 5GA,1995-03-10 00:00,42000,2945.71
377,TS5 8TT,1995-09-18 00:00,45000,4996.99
378,PR1 0BN,1995-11-10 00:00,123950,14491.81
379,N22 5BX,1995-03-03 00:00,76000,5331.01
380,OL7 9AL,1995-12-18 00:00,58995,7587.03
381,HP10 0BT,1995-04-28 00:00,73000,5974.72
382,LE9 4BP,1995-12-07 00:00,46500,5709.74
383,RG10 8LA,1995-03-16 00:00,211250,16053.29
384,WD17 2NT,1995-03-17 00:00,32000,2431.55
385,BH6 3DE,1995-11-10 00:00,38400,4490.37
386,B13 9JD,1995-12-15 00:00,40250,5175.85
387,BS32 8DN,1995-02-24 00:00,45000,3155.50
388,DE24 9FN,1995-04-21 00:00,45000,3681.64
389,CF23 9JZ,1995-07-21 00:00,23000,2284.53
390,HG1 5LY,1995-06-18 00:00,31000,2900.39
391,WV3 7LH,1995-12-01 00:00,37000,4541.79
392,PE3 9SH,1995-03-28 00:00,71500,5434.30
393,TW1 3DD,1995-07-28 00:00,70000,6957.48
394,SS5 6LF,1995-05-16 00:00,53500,4690.10
395,SO31 4RY,1995-05-26 00:00,45000,3944.71
396,TW11 8SN,1995-07-28 00:00,98000,9738.77
397,RH2 0DH,1995-03-31 00:00,186000,14134.66
398,M20 2TB,1995-07-07 00:00,66000,6173.11
399,BD8 8NU,1995-09-29 00:00,15000,1665.66
400,CM5 0RB,1995-09-22 00:00,105000,11662.44
401,TF4 3SA,1995-08-18 00:00,52950,5571.85
402,HA5 3PS,1995-08-25 00:00,70495,7417.00
403,TS19 9DG,1995-07-19 00:00,27500,2733.60
404,IP1 6BT,1995-06-30 00:00,39500,3695.48
405,LL55 1BP,1995-09-08 00:00,43000,4525.78
